# R.L.P. van Veen and H.J.C.M. Sterenborg, A. Pifferi, A. Torricelli and R. Cubeddu
#Determination of VIS- NIR absorption coefficients of mammalian fat, with time- 
#and spatially resolved diffuse reflectance and transmission spectroscopy
#OSA Annual BIOMED Topical Meeting, 2004.

nm	mu_a(1/m)
429	8.280
430	8.216
431	8.158
432	8.069
433	7.927
434	7.832
435	7.721
436	7.652
437	7.623
438	7.560
439	7.474
440	7.383
441	7.244
442	7.104
443	7.000
444	6.899
445	6.811
446	6.729
447	6.659
448	6.571
449	6.464
450	6.375
451	6.291
452	6.210
453	6.135
454	6.049
455	5.950
456	5.837
457	5.751
458	5.663
459	5.593
460	5.523
461	5.413
462	5.288
463	5.144
464	4.985
465	4.846
466	4.720
467	4.594
468	4.513
469	4.434
470	4.327
471	4.208
472	4.084
473	3.961
474	3.843
475	3.732
476	3.635
477	3.534
478	3.452
479	3.386
480	3.315
481	3.261
482	3.192
483	3.109
484	3.013
485	2.919
486	2.832
487	2.750
488	2.676
489	2.597
490	2.515
491	2.437
492	2.368
493	2.298
494	2.250
495	2.193
496	2.124
497	2.060
498	1.998
499	1.942
500	1.906
501	1.875
502	1.828
503	1.776
504	1.724
505	1.683
506	1.648
507	1.620
508	1.576
509	1.534
510	1.501
511	1.475
512	1.457
513	1.432
514	1.403
515	1.368
516	1.330
517	1.298
518	1.270
519	1.246
520	1.231
521	1.211
522	1.189
523	1.165
524	1.145
525	1.132
526	1.113
527	1.091
528	1.064
529	1.042
530	1.031
531	1.017
532	1.002
533	0.991
534	0.984
535	0.978
536	0.970
537	0.951
538	0.929
539	0.913
540	0.896
541	0.880
542	0.864
543	0.849
544	0.840
545	0.833
546	0.828
547	0.822
548	0.805
549	0.785
550	0.773
551	0.763
552	0.760
553	0.757
554	0.746
555	0.733
556	0.724
557	0.718
558	0.710
559	0.704
560	0.698
561	0.690
562	0.682
563	0.673
564	0.662
565	0.653
566	0.647
567	0.641
568	0.636
569	0.630
570	0.629
571	0.633
572	0.639
573	0.632
574	0.613
575	0.589
576	0.573
577	0.562
578	0.563
579	0.566
580	0.566
581	0.564
582	0.562
583	0.562
584	0.557
585	0.548
586	0.541
587	0.530
588	0.520
589	0.512
590	0.502
591	0.493
592	0.488
593	0.485
594	0.486
595	0.487
596	0.479
597	0.472
598	0.467
599	0.462
600	0.466
601	0.471
602	0.479
603	0.487
604	0.487
605	0.484
606	0.480
607	0.475
608	0.470
609	0.469
610	0.464
611	0.458
612	0.454
613	0.442
614	0.427
615	0.422
616	0.423
617	0.430
618	0.437
619	0.435
620	0.430
621	0.425
622	0.433
623	0.440
624	0.438
625	0.432
626	0.426
627	0.424
628	0.426
629	0.428
630	0.428
631	0.429
632	0.437
633	0.444
634	0.440
635	0.431
636	0.420
637	0.422
638	0.433
639	0.446
640	0.452
641	0.450
642	0.449
643	0.453
644	0.460
645	0.465
646	0.464
647	0.464
648	0.464
649	0.465
650	0.471
651	0.472
652	0.467
653	0.464
654	0.457
655	0.448
656	0.438
657	0.428
658	0.424
659	0.422
660	0.418
661	0.414
