lambda	absorption
2500	 100.53096
2487	 94.487784
2475	 86.822193
2463	 79.592112
2451	 71.778531
2439	 65.433743
2427	 60.579534
2415	 55.677084
2403	 51.457795
2392	 47.544167
2381	 44.069378
2369	 40.844681
2358	 37.890963
2347	 36.14103
2336	 32.653196
2325	 30.483581
2314	 28.456257
2304	 26.670811
2293	 25.209464
2283	 23.888763
2272	 22.787608
2262	 21.943926
2252	 21.204354
2242	 20.738434
2232	 20.380941
2222	 20.133338
2212	 20.053927
2202	 20.144998
2193	 20.284975
2183	 20.665721
2173	 21.049971
2164	 21.660148
2155	 22.333734
2145	 23.199452
2136	 24.297335
2127	 25.52267
2118	 26.936412
2100	 28.723131
2100	 30.458487
2092	 32.617299
2083	 34.990373
2074	 37.565812
2066	 40.448384
2057	 43.98535
2050	 47.652853
2040	 51.189478
2032	 55.410765
2024	 60.162117
2016	 65.449844
2008	 70.717122
2000	 77.283175
1992	 83.901968
1984	 91.207524
1976	 99.208184
1968	 107.27389
1960	 115.405439
1953	 123.54035
1945	 130.509344
1940	 135.010587
1930	 136.732523
1923	 134.61634
1920	 128.616633
1908	 117.233431
1901	 98.494957
1894	 72.983142
1890	 48.680532
1879	 31.767034
1872	 21.548102
1865	 15.76692
1860	 12.782798
1851	 11.133899
1845	 10.08034
1838	 9.708512
1831	 9.402472
1824	 9.231873
1818	 9.193219
1810	 9.159364
1805	 9.259431
1798	 9.155698
1792	 9.186353
1785	 9.151978
1779	 8.970933
1773	 8.717786
1770	 8.396555
1760	 7.925381
1754	 7.594271
1748	 7.260889
1742	 6.917996
1740	 6.652358
1730	 6.442989
1724	 6.275896
1718	 6.136894
1710	 6.011599
1706	 5.922252
1700	 5.89141
1690	 5.852931
1689	 5.833057
1683	 5.838919
1677	 5.83733
1672	 5.877333
1666	 5.921129
1661	 5.984346
1655	 6.051599
1650	 6.161329
1644	 6.267897
1640	 6.356022
1634	 6.49083
1628	 6.661411
1623	 6.805816
1618	 6.989946
1612	 7.19526
1607	 7.381863
1602	 7.608851
1597	 7.868735
1592	 8.130252
1587	 8.4726
1582	 8.817112
1577	 9.163808
1572	 9.51271
1567	 9.944032
1562	 10.458567
1557	 10.976405
1552	 11.659519
1548	 12.176715
1543	 12.786261
1538	 13.8083
1533	 14.591088
1529	 15.368942
1524	 16.079017
1519	 17.04195
1515	 18.082301
1510	 19.224049
1506	 20.443298
1501	 21.599757
1497	 22.916627
1492	 24.08835
1488	 25.75768
1484	 26.927936
1479	 28.208484
1474	 29.668228
1470	 30.603813
1466	 31.544503
1462	 32.404388
1457	 32.688087
1453	 32.778075
1449	 32.69511
1445	 32.524722
1440	 32.201323
1437	 32.006203
1432	 31.064909
1428	 30.271928
1424	 29.121504
1420	 27.699111
1416	 26.357429
1412	 24.652156
1408	 22.312447
1404	 19.690893
1400	 16.964599
1396	 13.952631
1392	 11.013629
1388	 8.781973
1385	 7.204114
1381	 5.987452
1377	 5.183514
1373	 4.640313
1369	 4.222447
1366	 3.955739
1362	 3.72747
1358	 3.553377
1355	 3.394311
1351	 3.236933
1347	 3.097279
1344	 2.889143
1340	 2.700832
1336	 2.539611
1333	 2.356784
1329	 2.203133
1326	 2.04701
1322	 1.910621
